match_id,season,round_label,round_number,date,team,opposition_team,player_id,full_name,player_key,jersey_number,raw_position,display_position,is_starting,source_url
2025003,2025,Round 1,1,2025-02-14,Castleford,Hull KR,,Wood,wood,,RC,RC,True,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf
2025003,2025,Round 1,1,2025-02-14,Castleford,Hull KR,,Cini,cini,,LC,LC,True,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf
2025003,2025,Round 1,1,2025-02-14,Castleford,Hull KR,,Senior,senior,,LW,LW,True,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf
2025003,2025,Round 1,1,2025-02-14,Castleford,Hull KR,,Asi,asi,,FE,FE,True,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf
2025003,2025,Round 1,1,2025-02-14,Castleford,Hull KR,,Hoy,hoy,,HLF,HLF,True,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf
2025003,2025,Round 1,1,2025-02-14,Castleford,Hull KR,,Westerman,westerman,,PR,PR,True,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf
2025003,2025,Round 1,1,2025-02-14,Castleford,Hull KR,,Rimbu,rimbu,,HK,HK,True,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf
2025003,2025,Round 1,1,2025-02-14,Castleford,Hull KR,,Lawler,lawler,,PR,PR,True,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf
2025003,2025,Round 1,1,2025-02-14,Castleford,Hull KR,,Simbiken,simbiken,,L2R,L2R,True,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf
2025003,2025,Round 1,1,2025-02-14,Castleford,Hull KR,,Hodson,hodson,,R2R,R2R,True,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf
2025003,2025,Round 1,1,2025-02-14,Castleford,Hull KR,,Horne,horne,,LK,LK,True,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf
2025003,2025,Round 1,1,2025-02-14,Castleford,Hull KR,,Griffin,griffin,,B,PR,False,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf
2025003,2025,Round 1,1,2025-02-14,Castleford,Hull KR,,Mustapha,mustapha,,B,LK,False,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf
2025003,2025,Round 1,1,2025-02-14,Castleford,Hull KR,,Namo,namo,,B,PR,False,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf
2025003,2025,Round 1,1,2025-02-14,Castleford,Hull KR,,Davies,davies,,B,,False,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf
2025004,2025,Round 1,1,2025-02-15,St Helens,Salford,,Welsby,welsby,,FB,FB,True,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf
