match_id,season,round_label,round_number,date,is_final,team,opposition_team,player_id,full_name,player_key,jersey_number,raw_position,display_position,tries,position_method,source_url,source,team_short,opposition_short
2025013,2025,Round 3,3,2025-02-27,False,Hull KR,Salford,,J. Broadbent,broadbent,,RC,RC,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Hull KR,Salford
2025013,2025,Round 3,3,2025-02-27,False,Hull KR,Salford,,T. Davies,davies,,RW,RW,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Hull KR,Salford
2025013,2025,Round 3,3,2025-02-27,False,Hull KR,Salford,,O. Gildart,gildart,,LC,LC,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Hull KR,Salford
2025013,2025,Round 3,3,2025-02-27,False,Hull KR,Salford,,J. Litten,litten,,HK,HK,1,interchange; season modal starting position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Hull KR,Salford
2025013,2025,Round 3,3,2025-02-27,False,Hull KR,Salford,,K. Tanginoa,tanginoa,,R2R,R2R,1,interchange; season modal starting position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Hull KR,Salford
2025014,2025,Round 3,3,2025-02-28,False,Hull FC,Huddersfield,,H. Barron,barron,,RW,RW,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Hull FC,Huddersfield
2025014,2025,Round 3,3,2025-02-28,False,Hull FC,Huddersfield,,L. Martin,martin,,LW,LW,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Hull FC,Huddersfield
2025014,2025,Round 3,3,2025-02-28,False,Huddersfield,Hull FC,,J. Gagai,gagai,,FB,FB,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Huddersfield,Hull FC
2025014,2025,Round 3,3,2025-02-28,False,Huddersfield,Hull FC,,A. Swift,swift,,RW,RW,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Huddersfield,Hull FC
2025015,2025,Round 3,3,2025-02-28,False,Leigh,Catalans,,U. Hanley,hanley,,LC,LC,3,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Leigh,Catalans
2025015,2025,Round 3,3,2025-02-28,False,Leigh,Catalans,,K. Brand,brand,,LW,LW,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Leigh,Catalans
2025015,2025,Round 3,3,2025-02-28,False,Leigh,Catalans,,J. Hughes,hughes,,R2R,R2R,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Leigh,Catalans
2025015,2025,Round 3,3,2025-02-28,False,Leigh,Catalans,,E. O’Neill,oneill,,L2R,L2R,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Leigh,Catalans
2025015,2025,Round 3,3,2025-02-28,False,Catalans,Leigh,,A. Da Costa,da costa,,HK,HK,1,interchange; season modal starting position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Catalans,Leigh
2025016,2025,Round 3,3,2025-03-01,False,St Helens,Wakefield Trinity,,D. Clark,clark,,HK,HK,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,St Helens,Wakefield
2025016,2025,Round 3,3,2025-03-01,False,St Helens,Wakefield Trinity,,K. Feldt,feldt,,RW,RW,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,St Helens,Wakefield
2025016,2025,Round 3,3,2025-03-01,False,St Helens,Wakefield Trinity,,H. Robertson,robertson,,RC,RC,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,St Helens,Wakefield
2025016,2025,Round 3,3,2025-03-01,False,St Helens,Wakefield Trinity,,J. Welsby,welsby,,FB,FB,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,St Helens,Wakefield
2025016,2025,Round 3,3,2025-03-01,False,Wakefield Trinity,St Helens,,I. Vagana,vagana,,L2R,L2R,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Wakefield,St Helens
2025017,2025,Round 3,3,2025-03-01,False,Wigan,Warrington,,T. Dupree,dupree,,PR,PR,1,interchange; season modal starting position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Wigan,Warrington
2025017,2025,Round 3,3,2025-03-01,False,Wigan,Warrington,,J. Field,field,,FB,FB,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Wigan,Warrington
2025017,2025,Round 3,3,2025-03-01,False,Wigan,Warrington,,B. French,french,,FE,FE,1,starting lineup position,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Wigan,Warrington
