season,scope,team,team_short,matches,position,tries_scored,tries_conceded,differential
2025,All matches,Warrington,Warrington,27,RC,13,5,8
2025,All matches,Warrington,Warrington,27,RW,24,25,-1
2025,All matches,Warrington,Warrington,27,FB,8,7,1
2025,All matches,Warrington,Warrington,27,PR,1,11,-10
2025,All matches,Warrington,Warrington,27,HK,3,8,-5
2025,All matches,Warrington,Warrington,27,LK,4,3,1
2025,All matches,Wigan,Wigan,29,LW,17,11,6
2025,All matches,Wigan,Wigan,29,LC,16,1,15
2025,All matches,Wigan,Wigan,29,L2R,11,5,6
2025,All matches,Wigan,Wigan,29,FE,20,6,14
2025,All matches,Wigan,Wigan,29,HLF,6,2,4
2025,All matches,Wigan,Wigan,29,R2R,4,5,-1
2025,All matches,Wigan,Wigan,29,RC,9,6,3
2025,All matches,Wigan,Wigan,29,RW,21,9,12
2025,All matches,Wigan,Wigan,29,FB,26,5,21
2025,All matches,Wigan,Wigan,29,PR,7,7,0
2025,All matches,Wigan,Wigan,29,HK,7,3,4
2025,All matches,Wigan,Wigan,29,LK,1,2,-1
