match_id,season,round_label,round_number,date,home_team,home_team_score,away_team,away_team_score,is_final,venue,source_url,source,home_team_short,away_team_short
2025111,2025,Round 19,19,2025-07-18,Wakefield Trinity,46,Huddersfield,10,False,Accu Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Wakefield,Huddersfield
2025112,2025,Round 19,19,2025-07-19,Hull FC,32,Wigan,12,False,The Brick Community Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Hull FC,Wigan
2025113,2025,Round 19,19,2025-07-19,Hull KR,34,Catalans,6,False,Stade Gilbert Brutus,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Hull KR,Catalans
2025114,2025,Round 19,19,2025-07-20,Castleford,20,Warrington,14,False,"The Jungle, Castleford",https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Castleford,Warrington
2025115,2025,Round 20,20,2025-07-24,Wakefield Trinity,15,Leeds,14,False,DIY Kitchens Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Wakefield,Leeds
2025116,2025,Round 20,20,2025-07-25,Wigan,28,Catalans,18,False,The Brick Community Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Wigan,Catalans
2025117,2025,Round 20,20,2025-07-26,Huddersfield,30,Hull FC,14,False,MKM Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Huddersfield,Hull FC
2025118,2025,Round 20,20,2025-07-31,Hull KR,74,Salford,12,False,Salford Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Hull KR,Salford
2025119,2025,Round 20,20,2025-08-01,Leigh,20,Warrington,16,False,Leigh Sports Village Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Leigh,Warrington
2025120,2025,Round 20,20,2025-08-01,St Helens,40,Castleford,0,False,Totally Wicked Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,St Helens,Castleford
2025121,2025,Round 21,21,2025-08-07,Leeds,22,Leigh,14,False,Leigh Sports Village Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Leeds,Leigh
2025122,2025,Round 21,21,2025-08-08,St Helens,34,Wakefield Trinity,4,False,DIY Kitchens Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,St Helens,Wakefield
2025123,2025,Round 21,21,2025-08-08,Wigan,24,Warrington,18,False,Halliwell Jones Stadium,https://www.rugbyleagueproject.org/resources/RugbyLeague2025Annual.pdf,Rugby League Project 2025 Annual,Wigan,Warrington
